Entity,Code,Year,Life expectancy - Sex: all - Age: 0 - Variant: estimates
Afghanistan,AFG,2023,66.035
Africa (UN),,2023,63.843
Albania,ALB,2023,79.602
Algeria,DZA,2023,76.261
American Samoa,ASM,2023,72.852
Andorra,AND,2023,84.041
Angola,AGO,2023,64.617
Anguilla,AIA,2023,79.311
Antigua and Barbuda,ATG,2023,77.598
Argentina,ARG,2023,77.395
Armenia,ARM,2023,75.683
Aruba,ABW,2023,76.353
Asia (UN),,2023,74.566
Australia,AUS,2023,83.923
Austria,AUT,2023,81.956
Azerbaijan,AZE,2023,74.429
Bahamas,BHS,2023,74.552
Bahrain,BHR,2023,81.284
Bangladesh,BGD,2023,74.672
Barbados,BRB,2023,76.178
Belarus,BLR,2023,74.434
Belgium,BEL,2023,82.115
Belize,BLZ,2023,73.566
Benin,BEN,2023,60.774
Bermuda,BMU,2023,82.309
Bhutan,BTN,2023,72.975
Bolivia,BOL,2023,68.581
Bonaire Sint Eustatius and Saba,BES,2023,77.436
Bosnia and Herzegovina,BIH,2023,77.85
Botswana,BWA,2023,69.163
Brazil,BRA,2023,75.848
British Virgin Islands,VGB,2023,77.276
Brunei,BRN,2023,75.327
Bulgaria,BGR,2023,75.636
Burkina Faso,BFA,2023,61.092
Burundi,BDI,2023,63.651
Cambodia,KHM,2023,70.668
Cameroon,CMR,2023,63.7
Canada,CAN,2023,82.63
Cape Verde,CPV,2023,76.059
Cayman Islands,CYM,2023,80.358
Central African Republic,CAF,2023,57.408
Chad,TCD,2023,55.069
Chile,CHL,2023,81.167
China,CHN,2023,77.953
Colombia,COL,2023,77.725
Comoros,COM,2023,66.777
Congo,COG,2023,65.772
Cook Islands,COK,2023,75.282
Costa Rica,CRI,2023,80.799
Cote d'Ivoire,CIV,2023,61.944
Croatia,HRV,2023,78.58
Cuba,CUB,2023,78.085
Curacao,CUW,2023,76.8
Cyprus,CYP,2023,81.648
Czechia,CZE,2023,79.834
Democratic Republic of Congo,COD,2023,61.895
Denmark,DNK,2023,81.933
Djibouti,DJI,2023,65.987
Dominica,DMA,2023,71.132
Dominican Republic,DOM,2023,73.72
East Timor,TLS,2023,67.689
Ecuador,ECU,2023,77.392
Egypt,EGY,2023,71.633
El Salvador,SLV,2023,72.099
Equatorial Guinea,GNQ,2023,63.707
Eritrea,ERI,2023,68.624
Estonia,EST,2023,79.153
Eswatini,SWZ,2023,64.123
Ethiopia,ETH,2023,67.315
Europe (UN),,2023,79.059
Falkland Islands,FLK,2023,79.213
Faroe Islands,FRO,2023,80.179
Fiji,FJI,2023,67.316
Finland,FIN,2023,81.91
France,FRA,2023,83.325
French Guiana,GUF,2023,76.978
French Polynesia,PYF,2023,84.07
Gabon,GAB,2023,68.337
Gambia,GMB,2023,65.86
Georgia,GEO,2023,74.496
Germany,DEU,2023,81.378
Ghana,GHA,2023,65.498
Gibraltar,GIB,2023,83.553
Greece,GRC,2023,81.857
Greenland,GRL,2023,70.055
Grenada,GRD,2023,75.205
Guadeloupe,GLP,2023,82.05
Guam,GUM,2023,77.209
Guatemala,GTM,2023,72.602
Guernsey,GGY,2023,83.274
Guinea,GIN,2023,60.74
Guinea-Bissau,GNB,2023,64.085
Guyana,GUY,2023,70.18
Haiti,HTI,2023,64.936
High-income countries,,2023,81.435
